,Month,Day,isWeekend,is_Month_Start,is_Month_End,is_Quarter_Start,is_Quarter_End,is_Year_Start,is_Year_End,IncidntCount,isNeighborhood_1.0,isNeighborhood_2.0,isNeighborhood_3.0,isNeighborhood_4.0,isNeighborhood_5.0,isNeighborhood_6.0,isNeighborhood_7.0,isNeighborhood_9.0,isNeighborhood_10.0,isNeighborhood_11.0,isNeighborhood_12.0,isNeighborhood_13.0,isNeighborhood_14.0,isNeighborhood_15.0,isNeighborhood_16.0,isNeighborhood_17.0,isNeighborhood_18.0,isNeighborhood_19.0,isNeighborhood_20.0,isNeighborhood_21.0,isNeighborhood_22.0,isNeighborhood_23.0,isNeighborhood_24.0,isNeighborhood_25.0,isNeighborhood_26.0,isNeighborhood_27.0,isNeighborhood_28.0,isNeighborhood_29.0,isNeighborhood_30.0,isNeighborhood_31.0,isNeighborhood_32.0,isNeighborhood_33.0,isNeighborhood_34.0,isNeighborhood_35.0,isNeighborhood_36.0,isNeighborhood_37.0,isNeighborhood_38.0,isNeighborhood_39.0,isNeighborhood_40.0,isNeighborhood_41.0,Pred_IncidntCount,Analysis Neighborhood,Year,Date
4707,9,5,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.99122015435323,Tenderloin,2020,2020-09-05
4709,9,4,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.176602619430213,Mission,2020,2020-09-04
4710,9,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.926082965365914,South of Market,2020,2020-09-03
4712,9,4,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.020409088076264,Western Addition,2020,2020-09-04
4713,9,5,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.99122015435323,Tenderloin,2020,2020-09-05
4714,9,4,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.460497957032992,Chinatown,2020,2020-09-04
4715,9,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.698148771886746,North Beach,2020,2020-09-05
4716,9,4,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.634634115097626,Tenderloin,2020,2020-09-04
4717,9,5,1,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.837583220369375,Castro/Upper Market,2020,2020-09-05
4718,9,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9882391759575384,Portola,2020,2020-09-04
4719,9,4,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34156273263114,North Beach,2020,2020-09-04
4720,9,4,1,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.480997181113768,Castro/Upper Market,2020,2020-09-04
4721,9,5,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.328189810275854,Financial District/South Beach,2020,2020-09-05
4722,9,4,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.176602619430213,Mission,2020,2020-09-04
4723,9,5,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52088097730196,Marina,2020,2020-09-05
4724,9,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.37699512733187,Western Addition,2020,2020-09-05
4725,9,4,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.176602619430213,Mission,2020,2020-09-04
4726,9,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.237950838691973,Western Addition,2020,2020-09-02
